danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,https://api.spotify.com/v1/tracks/3iBgrkexCzVuPy4O9vx7Mf,135067,Glue Song,beabadoobee
0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,https://api.spotify.com/v1/tracks/3Pzh926pXggbMe2ZpXyMV7,175493,Ain't No Rest for the Wicked,Cage The Elephant
0.214,0.948,1,-4.151,0,0.199,0.00495,0.0,0.223,0.565,199.85,https://api.spotify.com/v1/tracks/1FYTEYMWAu6gz7BYDHyoBU,197187,Plastic Promises,Set It Off
0.781,0.829,7,-4.41,0,0.0575,0.0713,4.03e-06,0.311,0.333,120.054,https://api.spotify.com/v1/tracks/0FUmSirsQNOFA0vXmWkObn,162814,LEGO,Eldzhey
0.623,0.804,2,-6.076,1,0.0674,0.199,5.11e-05,0.0738,0.18,102.532,https://api.spotify.com/v1/tracks/5w9znMVt2FNKExzFwaHrSA,240000,Sometimes,Rich Brian
0.498,0.598,4,-6.638,0,0.0377,0.00786,0.0,0.111,0.0573,140.078,https://api.spotify.com/v1/tracks/1FpVJ7HpZInE2GvhVE2TwT,235000,Legends Never Die,League of Legends
0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,230453,Starboy,The Weeknd
0.604,0.56,10,-8.617,1,0.0786,0.0398,0.000322,0.485,0.266,145.964,https://api.spotify.com/v1/tracks/6zHEWX6PuCQIRy4rdh777J,219058,Daydreamer,AURORA
0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7,214240,Vienna,Billy Joel
0.387,0.595,2,-5.67,1,0.0389,0.361,1.1e-05,0.174,0.151,119.38,https://api.spotify.com/v1/tracks/6Jv7kjGkhY2fT4yuBF3aTz,404213,"Lover, You Should've Come Over",Jeff Buckley
0.743,0.57,0,-7.376,1,0.0335,0.506,5.18e-05,0.0994,0.272,97.005,https://api.spotify.com/v1/tracks/3WCMsWitehxaRSe1XCbHVp,231360,Life In The City,The Lumineers
0.592,0.734,10,-12.388,1,0.035,0.0122,0.901,0.395,0.347,130.028,https://api.spotify.com/v1/tracks/3eQijz4pPT7rb020LqdhdX,142154,Another Medium,Toby Fox
0.264,0.294,7,-11.941,0,0.028,0.772,0.686,0.107,0.0402,137.937,https://api.spotify.com/v1/tracks/6pnwfWyaWjQiHCKTiZLItr,811077,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd
0.851,0.652,8,-4.333,1,0.0367,0.0317,0.0,0.0936,0.696,119.944,https://api.spotify.com/v1/tracks/07oO1U722crtVcavi6frX6,190782,"Double Life - From ""Despicable Me 4""",Pharrell Williams
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,239560,cardigan,Taylor Swift
