danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.59,0.795,5,-7.084,0,0.383,0.178,0.0,0.571,0.779,92.348,https://api.spotify.com/v1/tracks/6hezGXLMcnIRxzXoA7cYiP,171600,Kon Karne,MF DOOM
0.859,0.423,1,-10.698,0,0.283,0.543,0.0,0.104,0.563,125.89,https://api.spotify.com/v1/tracks/0du80hkIk5zQfc4oLNUfKx,138410,ARE YOU WITH THAT?,Vince Staples
0.462,0.336,7,-5.933,1,0.0349,0.115,1.36e-06,0.281,0.415,103.453,https://api.spotify.com/v1/tracks/3IbVm2Sr1fnF3wayNq1FgJ,247874,Medicine Hat,Pond
0.417,0.46,1,-11.07,1,0.0316,0.811,0.00068,0.126,0.55,140.626,https://api.spotify.com/v1/tracks/6RXlKsUmQgykm0Qt9DANwF,165707,Lead Me On,Maxine Nightingale
0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,226739,Roses,The Chainsmokers
0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,https://api.spotify.com/v1/tracks/0WtDGnWL2KrMCk0mI1Gpwz,326933,Redbone,Childish Gambino
0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,186827,Brandy (You're a Fine Girl),Looking Glass
0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,https://api.spotify.com/v1/tracks/63OQupATfueTdZMWTxW03A,264067,Karma Police,Radiohead
0.744,0.696,7,-8.313,0,0.162,0.0535,0.0454,0.128,0.563,95.07,https://api.spotify.com/v1/tracks/6yIjtVtnOBeC8SwdVHzAuF,203733,Heard 'Em Say,Kanye West
0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi,613027,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
0.186,0.679,7,-7.884,0,0.0441,0.00756,0.884,0.128,0.227,86.867,https://api.spotify.com/v1/tracks/4dHOnPucB5VBYq3gjRtYy9,359347,You See Big Girl / T:T,Hiroyuki Sawano
0.802,0.966,0,-3.933,1,0.0424,0.18,0.0,0.0611,0.684,130.099,https://api.spotify.com/v1/tracks/52Zr0sinhWTCRrQhRRY4EP,215387,Dragostea din tei,O-Zone
0.369,0.634,8,-5.883,1,0.16,0.161,2.01e-06,0.107,0.571,169.904,https://api.spotify.com/v1/tracks/6cUfdHXhw0FizTQofYdEhK,208352,Meteorite,"Pitch, Please!"
0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,182347,Stick Season,Noah Kahan
